Station	Unnamed: 0	Sample No	Volatile Suspended Solids (mg/L)	Unionised Ammonia (mg/L)	Turbidity (NTU)	Total Phosphorus (mg/L)	Total Nitrogen (mg/L)	Total Kjeldahl Nitrogen (mg/L)	Total Inorganic Nitrogen (mg/L)	Temperature (°C)	Suspended Solids (mg/L)	Silica (mg/L)	Secchi Disc Depth (M)	Salinity (psu)	Phaeo-pigments (μg/L)	pH	Orthophosphate Phosphorus (mg/L)	Nitrite Nitrogen (mg/L)	Nitrate Nitrogen (mg/L)	Faecal Coliforms (cfu/100mL)	E. coli (cfu/100mL)	Dissolved Oxygen (mg/L)	Dissolved Oxygen (%saturation)	Chlorophyll-a (μg/L)	Ammonia Nitrogen (mg/L)	5-day Biochemical Oxygen Demand (mg/L)	Year	Month	x	y	DIN(mg/L)	DIN(uM)	Nitrite Nitrogen (uM)	Nitrate Nitrogen (uM)	Ammonia Nitrogen (uM)
DM1	360.6666666666667	1.0	6.113043478260869	0.016753623188405797	27.257971014492753	0.32095238095238093	3.5657142857142854	2.285555555555556	2.609855072463768	28.605797101449276	36.028985507246375	8.707246376811593	1.056521739130435	10.908695652173913	5.184057971014493	7.2550724637681165	0.21389855072463768	0.3610289855072464	0.9452898550724637	49483.782608695656	23412.695652173912	4.436231884057971	61.0	7.814492753623189	1.303391304347826	2.646376811594203	2016.4492753623188	6.9855072463768115	114.010733333333	22.49615	2.609710144927536	186.407867494824	25.787784679089025	67.5207039337474	93.09937888198758
DM2	775.6666666666666	1.0	5.194202898550724	0.018231884057971014	26.531884057971016	0.2814285714285714	3.1106349206349204	1.8761904761904762	2.3269565217391306	28.66231884057971	32.39855072463768	7.947826086956521	1.0521739130434782	12.130434782608695	5.128985507246377	7.395652173913044	0.18463768115942028	0.32704347826086955	0.9082753623188405	33736.057971014496	16542.115942028984	4.891304347826087	67.68115942028986	8.723188405797101	1.0914057971014492	2.552173913043478	2016.4492753623188	6.9855072463768115	113.992483333333	22.5075666666666	2.3267246376811594	166.19461697722568	23.36024844720497	64.87681159420289	77.9575569358178
DM3	1214.0	1.0	2.8471428571428574	0.006585714285714286	10.17142857142857	0.13578125	1.8025	0.5940625	1.4634285714285713	28.38	13.71	5.56	1.262857142857143	16.347142857142856	2.861428571428571	7.572857142857143	0.08834285714285714	0.19975714285714286	0.9911428571428571	652.8571428571429	200.42857142857142	5.462857142857143	76.94285714285714	5.37	0.27211428571428575	1.2014285714285713	2016.5	7.0	113.959183333333	22.4766666666666	1.4630142857142858	104.50102040816327	14.268367346938776	70.79591836734694	19.436734693877554
DM4	1988.8333333333333	1.0	1.8746376811594203	0.004	7.98840579710145	0.08404761904761905	1.5535714285714286	0.4023809523809524	1.2824637681159419	27.947826086956525	9.904347826086957	4.944927536231884	1.5057971014492755	17.68550724637681	1.4007246376811595	7.602898550724638	0.049681159420289854	0.15703623188405796	0.9638405797101448	621.2608695652174	217.8840579710145	5.404347826086957	75.8913043478261	2.510869565217391	0.16116666666666665	0.7818840579710146	2016.4492753623188	6.9855072463768115	113.932283333333	22.4555833333333	1.2820434782608694	91.57453416149067	11.21687370600414	68.84575569358176	11.511904761904761
DM5	2977.0	1.0	1.5913043478260869	0.003613526570048309	5.948529411764706	0.06804232804232804	1.32015873015873	0.3556084656084656	1.066376811594203	27.4280193236715	7.242028985507246	4.171787439613526	1.7144927536231882	21.121739130434783	1.2202898550724637	7.7101449275362315	0.035304347826086956	0.1219903381642512	0.8205797101449276	1094.6328502415458	476.951690821256	5.4227053140096615	76.91304347826087	3.0942028985507246	0.12373429951690822	0.8381642512077294	2016.4492753623188	6.9855072463768115	113.8898	22.4260166666666	1.066304347826087	76.16459627329193	8.7135955831608	58.6128364389234	8.838164251207731
EM1	1107.8	1.0	1.4238095238095239	0.0027714285714285714	3.5038095238095237	0.03651041666666666	0.4405729166666667	0.34098958333333335	0.16833333333333333	25.35	5.877142857142857	0.7516666666666666	2.9899999999999998	32.14047619047619	1.2585714285714287	7.913809523809524	0.012257142857142857	0.020442857142857145	0.0817047619047619	677.8619047619047	266.72857142857146	5.474285714285714	79.77142857142857	3.936666666666667	0.06599523809523809	0.7319047619047618	2016.5	7.0	114.255583333333	22.2751	0.16814285714285715	12.010204081632653	1.4602040816326531	5.836054421768708	4.713945578231292
EM2	2378.0	1.0	1.4504761904761905	0.0022523809523809523	3.548571428571429	0.033125	0.41411458333333334	0.32489583333333333	0.13876190476190475	25.325714285714284	5.910952380952381	0.6902380952380952	3.0542857142857143	32.29809523809524	1.207142857142857	7.930476190476191	0.010066666666666666	0.01798095238095238	0.06979523809523809	385.2142857142857	130.8904761904762	5.568095238095238	81.34285714285714	3.514761904761905	0.0501952380952381	0.78	2016.5	7.0	114.266183333333	22.2622	0.13797142857142858	9.855102040816329	1.2843537414965984	4.985374149659863	3.585374149659864
EM3	3596.3088235294117	1.0	1.3480392156862746	0.0019264705882352942	3.532352941176471	0.03166666666666666	0.38086021505376344	0.31451612903225806	0.10700980392156864	25.340196078431372	5.016176470588235	0.6176470588235294	3.2529411764705882	32.48578431372549	1.0857843137254901	7.958333333333333	0.0085	0.014730392156862745	0.05275490196078431	118.70098039215686	37.85294117647059	5.690196078431373	83.2843137254902	3.3642156862745094	0.03911274509803921	0.7455882352941177	2016.3970588235295	7.029411764705882	114.269066666666	22.2372833333333	0.10659803921568628	7.614145658263306	1.052170868347339	3.7682072829131656	2.793767507002801
ET1	3858.7419354838707	1.0	1.7903225806451613	0.003698924731182796	3.281720430107527	0.035679012345679016	0.5033333333333334	0.36790123456790125	0.21053763440860213	26.353763440860217	6.721505376344086	0.7075268817204301	2.6870967741935483	30.87956989247312	2.4268817204301074	7.970967741935484	0.010236559139784945	0.01953763440860215	0.11263440860215053	1977.0860215053763	455.51612903225805	5.66236559139785	83.52688172043011	7.18494623655914	0.07726881720430108	1.235483870967742	2016.6451612903227	7.0	114.243733333333	22.27005	0.20944086021505376	14.960061443932412	1.3955453149001538	8.04531490015361	5.519201228878649
ET2	4035.7419354838707	1.0	1.3548387096774193	0.004182795698924731	3.996774193548387	0.04617283950617284	0.5954320987654321	0.4183950617283951	0.29559139784946237	25.84193548387097	5.11505376344086	1.0216129032258066	3.0419354838709673	31.002150537634407	1.6053763440860216	7.840860215053764	0.018688172043010754	0.027086021505376347	0.15101075268817205	9236.698924731183	2756.7419354838707	4.537634408602151	66.08602150537635	3.7623655913978493	0.11695698924731183	0.878494623655914	2016.6451612903227	7.0	114.229716666666	22.2846333333333	0.2950537634408602	21.0752688172043	1.9347158218125962	10.786482334869431	8.354070660522273
