	SI_ACRO_T2	LC_OUL_M1	PC_PLAT_M1	PI_PLAT_T1	PC_OUL_S2	SI_OUL_M3	PI_PORI_T1	LC_OUL_S3	PC_LEPT_M1	PI_PORI_S3	LC_PLAT_S1	PI_PLAT_S2	LC_OUL_T3	SI_PLAT_T2	PC_LEPT_S1	LC_PLAT_T1	LC_PORI_S1	PI_PLAT_T3	PI_PORI_S2	SI_PLAT_S2	LC_PLAT_M3	LC_PORI_S2	NP_PORI_S1	NP_PORI_T1	LC_PORI_T2	SI_ACRO_T1	PI_OUL_T1	LC_PLAT_T3	LC_OUL_T1	SI_OUL_T3	YTW_OUL_S2	SI_PLAT_M2	SI_OUL_M1	YTW_OUL_S1	LC_ACRO_T1	PC_FAVI_S1	SI_ACRO_T3	YTW_OUL_S3	PC_OUL_S1	CI_ACRO_T2	SI_OUL_T1	SI_OUL_S3	PI_PLAT_M2	PI_OUL_T3	PI_PORI_T3	PC_OUL_T2	LC_PLAT_M1	SI_PLAT_T1	LC_PLAT_S3	PC_OUL_T1	PC_PLAT_S1	PC_OUL_S3	YTW_OUL_T1	LC_OUL_S1	PI_PLAT_M3	YTW_OUL_T2	LC_PORI_T1	PI_OUL_S1	SI_PLAT_S1	PC_FAVI_T1	PI_OUL_T2	PI_PORI_S1	CI_ACRO_T1	PC_PLAT_T1	PI_PLAT_T2	LC_PORI_T3	YTW_OUL_T3	PI_OUL_S2	PC_OUL_T3	SI_OUL_S1	PI_PORI_T2	PC_LEPT_T1	SI_PLAT_M1	PI_PLAT_S1	SI_PLAT_T3	SI_OUL_M2	NP_ACRO_T2	LC_PLAT_M2	LC_PLAT_S2	SW_OUL_M1	SW_OUL_T1	SI_PLAT_S3	SI_OUL_T2	LC_PLAT_T2	SI_PLAT_M3	SW_OUL_S1	LC_OUL_S2	NP_ACRO_M2	LC_OUL_M2	LC_OUL_T2	SI_OUL_S2	sum	genus	family
ASV000001	5068	681	12133	96	52	7446	2164	314	7971	57	380	227	325	1508	13	7946	259	14877	473	150	11818	152	254	2550	99	7285	513	8308	549	328	130	1287	20232	70	16688	39	3153	53	66	3974	685	407	1496	272	66	163	8002	1225	187	82	18	73	142	719	1685	49	146	491	123	97	174	242	7830	1048	12964	224	212	86	135	1091	235	90	609	113	39797	2107	45541	6964	768	7082	6691	5639	954	3445	5162	556	1193	27785	217	1061	3710	339541	Cupriavidus	Burkholderiaceae
ASV000002	12719	108	284	2006	29	184	159	54	231	71	55	194	313	1800	4	1611	197	21682	61	39	64	77	170	176	274	10248	2805	1718	585	109	33	261	335	69	228	5	13084	34	5	7855	414	112	292	776	359	81	203	7613	175	17	10	20	532	232	798	100	59	230	86	66	488	87	10890	106	14379	665	38	132	121	218	1261	99	221	116	16346	192	24847	702	142	1159	16929	533	194	442	283	192	508	305	137	1673	1064	186580	Stutzerimonas	Pseudomonadaceae
ASV000003	105	0	83	0	80	27	0	18	56	0	63390	77	0	2021	76	20673	1887	45	1502	985	427	35	99	673	0	132	179	254	35	35	712	1478	675	0	2111	535	74	0	0	123	725	157	0	1022	0	923	6222	1922	1365	13	0	22	79	163	0	0	0	0	746	0	0	52	0	27	2222	38	103	0	0	240	0	48	1115	0	0	0	0	0	0	0	0	0	0	673	0	30	0	28	0	0	14	116551	Halomonas	Halomonadaceae
ASV000004	243	845	211	5231	108	772	3635	490	522	1132	162	1135	1956	465	37	308	383	768	969	334	394	755	895	1034	2958	444	5106	565	932	1226	85	359	433	604	314	69	307	111	140	520	2106	333	1600	3599	8812	119	194	228	207	254	92	425	64	403	546	68	2220	2994	2379	63	9493	262	582	247	565	2579	165	743	197	202	3008	79	329	4462	168	708	31	103	1740	1273	1387	68	1194	31	87	101	716	275	1458	582	552	97050	Ruegeria	Roseobacteraceae
ASV000005	48	302	974	464	1134	651	76	38	974	187	173	361	42	104	123	117	136	495	289	242	87	177	45	134	48	478	68	412	66	131	5669	40	207	12033	413	90	42	6785	235	160	155	87	277	427	313	247	193	256	191	602	163	459	3481	2219	28	547	26	445	81	47	157	233	36	81	524	156	417	293	366	214	116	206	25	183	109	333	340	0	31	19730	313	0	378	49	109	921	583	61	311	950	946	72665	Bradyrhizobium	Nitrobacteraceae
ASV000006	14	26	32	783	8	138	47	69	90	16	21	693	0	43	12	24	712	1682	23	64	33	0	10	185	27	23	842	98	0	11	11	33	41	727	35	13	22	18	0	1446	170	0	335	873	77	12	1394	1671	19	75	0	115	1049	881	177	13	11	1556	11	7	4035	53	199	35	46	1330	15	38977	18	13	27	1066	8	530	29	58	0	0	0	80	46	0	72	0	305	66	170	0	79	3207	0	66982	Azoarcus	Zoogloeaceae
ASV000007	33	0	21	150	27	0	68	0	0	0	43	1106	0	2273	5	52	28	95	0	86	77	352	36	0	59	71	41	7	0	23	0	253	41	49	27	0	24	24	32	0	0	0	327	31	0	0	0	81	834	9	28	5	0	0	27	0	44	47	778	14	0	0	0	0	0	0	47	30	28	11	45	0	481	675	1017	2488	69	398	627	308	34	44090	497	411	634	0	35	1271	74	0	2638	63236	Unclassified family	Chromatiaceae
ASV000008	8	9	21	9	32	1207	92	8	17	35	679	53	39	1972	0	40	0	15	216	35063	28	0	19	5	24	16	21	1009	0	7	8	1010	52	651	26	6	13	5	8	0	7	8	10	5	686	5	9	913	634	567	5	848	4	6	6	4	20	9	406	6	346	452	11	7	18	35	30	9	8	4	2209	0	524	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50240	Azoarcus	Zoogloeaceae
ASV000009	122	999	157	33	926	836	21	222	56	20	19	67	527	9	29	154	301	173	14	0	131	0	46	0	23	33	28	132	376	253	11	21	712	64	24	11	26	28	40	382	363	203	25	14	0	70	783	690	23	15	13	46	451	25292	63	6	56	14	35	71	0	0	20	51	1012	495	41	411	128	3349	66	497	71	0	121	76	64	51	188	1266	71	31	396	66	126	364	443	153	1628	1007	1332	48783	Bradyrhizobium	Nitrobacteraceae
ASV000010	832	0	974	0	0	220	19	0	27	0	0	0	0	13	182	612	177	833	103	226	794	52	93	0	25	309	0	896	322	427	0	18	35	109	336	11	186	0	0	0	424	259	0	21	117	0	763	0	0	94	0	145	0	0	324	0	347	0	0	214	66	7806	0	0	32	0	0	38	17	27793	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46681	Roseibium	Stappiaceae
