Genome ID	MC	previous MC used in Coral project	Ecosystem	name	contig number(NGS or nanopore	published	Collaborator	# contigs (NGS)	Completeness	Contamination	algae	Host	niche
GNM526588002907	MC157		mangrove	HKCCHK219	41.0		Lin Xingqin	41.0	98.62376450365277	2.583919804590196			intertidal
GNM526588001520	MC157		bare flat	SZCCDBA116	59.0		Lin Xinqing	59.0	98.80532874946284	2.8557119478907187			intertidal
GNM526588001573	MC157		bare flat	SZCCDBF067	63.0		Lin Xinqing	63.0	98.80532874946284	2.716047143421445			intertidal
GNM526588001576	MC157		bare flat	SZCCDBA192	45.0		Lin Xinqing	45.0	98.80532874946284	2.716047143421445			intertidal
GNM526588001598	MC157		bare flat	SZCCDBH018	57.0		Lin Xinqing	57.0	98.80532874946284	2.716047143421445			intertidal
GNM526588001621	MC157		bare flat	SZCCDBB086	47.0		Lin Xinqing	47.0	98.80532874946284	2.716047143421445			intertidal
GNM526588001525	MC157		bare flat	SZCCDBH091	44.0		Lin Xinqing	44.0	98.71221887981665	2.63845558538296			intertidal
GNM526588001523	MC157		bare flat	SZCCDBF088	55.0		Lin Xinqing	55.0	98.77340536558414	2.735999258345627			intertidal
GNM526588001606	MC157		bare flat	SZCCDBE062	34.0		Lin Xinqing	34.0	98.9030941125913	4.099071319741711			intertidal
GNM526588001586	MC157		bare flat	SZCCDBB077	31.0		Lin Xinqing	31.0	98.87516115169748	3.010895063967689			intertidal
GNM526588001536	MC157		bare flat	SZCCDBE037	29.0		Lin Xinqing	29.0	98.9030941125913	3.3460905946939463			intertidal
GNM526588001543	MC157		bare flat	SZCCDBC029	25.0		Lin Xinqing	25.0	98.87516115169748	3.3460905946939463			intertidal
GNM526588001547	MC157		bare flat	SZCCDBB076	29.0		Lin Xinqing	29.0	98.87516115169748	3.290224672906237			intertidal
GNM526588001559	MC157		bare flat	SZCCDBH069	20.0		Lin Xinqing	20.0	98.9030941125913	3.290224672906237			intertidal
GNM526588001529	MC157		bare flat	SZCCDBB073	31.0		Lin Xinqing	31.0	98.9030941125913	3.625420203632494			intertidal
GNM526588001615	MC157		bare flat	SZCCDBA019	28.0		Lin Xinqing	28.0	98.87516115169748	3.3460905946939463			intertidal
GNM526588001589	MC157		bare flat	SZCCDBF069	31.0		Lin Xinqing	31.0	98.9030941125913	3.645372318556676			intertidal
GNM526588001565	MC157		bare flat	SZCCDBC011	25.0		Lin Xinqing	25.0	98.87516115169748	3.197114803260054			intertidal
GNM526588001600	MC157		bare flat	SZCCDBD022	24.0		Lin Xinqing	24.0	98.87516115169748	14.823998161986989			intertidal
GNM526588002920	MC157		mangrove	HKCCHK94	45.0		Lin Xingqin	45.0	98.9030941125913	3.3660427096181285			intertidal
GNM526588003376	MC157		bare flat	SZCCBHA198	53.0		Huang Yanyan	53.0	98.8875758009836	4.120232653752207			intertidal
GNM526588003405	MC157		bare flat	SZCCBHC071	66.0		Huang Yanyan	66.0	98.9030941125913	3.6486976710440393			intertidal
GNM526588001578	MC157		bare flat	SZCCDBG060	38.0		Lin Xinqing	38.0	98.9030941125913	3.812970083919805			intertidal
GNM526588001607	MC157		bare flat	HKCCSP334	54.0		Ren Minglei	54.0	98.9030941125913	3.4573620048480387			intertidal
GNM526588001551	MC157		bare flat	SZCCDBA107	27.0		Lin Xinqing	27.0	98.84323776781878	3.659338799003604			intertidal
GNM526588003426	MC157		bare flat	SZCCYKD024	86.0		Huang Yanyan	86.0	98.62376450365277	4.059932928648013			intertidal
GNM526588003423	MC157		bare flat	SZCCYKD016	84.0		Huang Yanyan	84.0	98.62376450365277	4.059932928648013			intertidal
GNM526588003253	MC157		Spartina	SATA056	90.0		Song Zenglei	90.0	98.62376450365277	4.228860835006087			intertidal
GNM526588003246	MC157		Spartina	TATB045	76.0		Song Zenglei	76.0	98.9030941125913	3.5478286455940085			intertidal
GNM526588003251	MC157		Spartina	CRZC040	89.0		Song Zenglei	89.0	98.62376450365277	4.106487863471103			intertidal
GNM526588003582	MC157		Spartina	TATA010	99.0		Song Zenglei	99.0	98.9030941125913	4.302018589728087			intertidal
GNM526588003446	MC157		bare flat	SZCCYKD185	109.0		Huang Yanyan	109.0	98.55393210141813	2.891182374422597			intertidal
GNM526588003256	MC157		Spartina	SATE040	81.0		Song Zenglei	81.0	98.62376450365277	3.585072593452481			intertidal
GNM526588003556	MC157		Spartina	SAZC044	64.0		Song Zenglei	64.0	98.83326171035668	3.3256950994381165			intertidal
GNM526588003583	MC157		Spartina	TATA042	89.0		Song Zenglei	89.0	98.62376450365277	3.589506396768966			intertidal
GNM526588003481	MC157		bare flat	SZCCYKF050	91.0		Huang Yanyan	91.0	98.62376450365277	3.4392004643401286			intertidal
GNM526588003457	MC157		bare flat	SZCCYKE107	64.0		Huang Yanyan	64.0	98.9030941125913	2.7222544680645235			intertidal
GNM526588003492	MC157		bare flat	SZCCYKF105	81.0		Huang Yanyan	81.0	98.62376450365277	3.197114803260055			intertidal
GNM526588002912	MC157		mangrove	HKCCHK321	27.0		Lin Xingqin	27.0	98.80786810954407	2.63845558538296			intertidal
GNM526588001581	MC157		bare flat	SZCCDBH083	44.0		Lin Xinqing	44.0	98.74946282767512	3.0305913825466897			intertidal
GNM526588001555	MC157		bare flat	SZCCDBE011	26.0		Lin Xinqing	26.0	98.80532874946284	2.923770828798762			intertidal
GNM526588001611	MC157		bare flat	SZCCDBH040	25.0		Lin Xinqing	25.0	98.74946282767512	2.923770828798762			intertidal
GNM526588001599	MC157		bare flat	SZCCDBF065	21.0		Lin Xinqing	21.0	98.74946282767512	3.1831483228131274			intertidal
GNM526588001512	MC157		bare flat	SZCCDBG045	22.0		Lin Xinqing	22.0	98.74946282767512	2.894507726909961			intertidal
GNM526588002908	MC157		mangrove	HKCCHK282	42.0		Lin Xingqin	42.0	98.77739578856898	2.309245689133957			intertidal
GNM526588001569	MC157		bare flat	SZCCDBE006	42.0		Lin Xinqing	42.0	99.02879243661368	3.173837335848509			intertidal
GNM526588002916	MC157		mangrove	HKCCHK461	53.0		Lin Xingqin	53.0	98.83326171035668	3.234358751118528			intertidal
